series,timestamp,value,label
pressure,2023-09-22T06:57:50.000Z,707.12551,
pressure,2023-09-22T07:17:50.000Z,707.31533,
pressure,2023-09-22T07:37:50.000Z,707.27681,
pressure,2023-09-22T07:57:50.000Z,707.27681,
pressure,2023-09-22T08:17:50.000Z,707.3834,
pressure,2023-09-22T08:37:50.000Z,707.44667,
pressure,2023-09-22T08:57:50.000Z,707.52515,
pressure,2023-09-22T09:17:50.000Z,707.56797,
pressure,2023-09-22T09:37:50.000Z,707.58556,
pressure,2023-09-22T09:57:50.000Z,707.577,
pressure,2023-09-22T10:17:50.000Z,707.57318,
pressure,2023-09-22T10:37:50.000Z,707.60269,
pressure,2023-09-22T10:57:50.000Z,707.64169,
